FECHA,CIERRE,MAX.DIA,MIN.DIA,VOLUMEN,IMPORTE
 5/17/2019 ,32.44,32.62,31.42,"2,063,816","66,857,705"
 5/16/2019 ,32.05,32.7,31.97,"2,247,327","72,392,166"
 5/15/2019 ,32.19,32.61,31.71,"3,452,392","110,926,255"
 5/14/2019 ,31.91,32.1,31.24,"2,072,199","65,986,751"
 5/13/2019 ,31.62,32.49,31.32,"1,886,184","59,735,703"
 5/10/2019 ,31.56,32.18,29.95,"2,627,209","81,960,252"
 5/9/2019 ,30.97,31.28,30.26,"6,790,096","210,165,980"
 5/8/2019 ,30.57,31.39,29.6,"6,299,442","192,600,856"
 5/7/2019 ,30.1,30.5,29.83,"5,640,094","169,658,127"
 5/6/2019 ,29.8,30.35,29.39,"1,470,941","44,042,260"
 5/3/2019 ,30.06,30.45,29.74,"1,284,572","38,762,828"
 5/2/2019 ,30.13,30.68,29.89,"2,639,053","80,019,538"
 4/30/2019 ,29.79,30.75,29.07,"1,911,321","57,550,851"
 4/29/2019 ,29.78,30.23,29.37,"617,174","18,423,443"
 4/26/2019 ,29.41,29.69,29.2,"611,029","17,942,044"
 4/25/2019 ,29.44,29.82,29.18,"875,566","25,920,174"
 4/24/2019 ,29.37,29.47,28.87,"1,157,770","33,806,792"
 4/23/2019 ,29.05,29.35,28.86,"373,826","10,868,524"
 4/22/2019 ,29.09,29.61,28.63,"544,646","15,832,712"
 4/17/2019 ,29.3,29.51,29.04,"198,423","5,812,204"
 4/16/2019 ,29.39,29.64,28.78,"1,087,226","32,006,682"
 4/15/2019 ,28.9,29.93,28.65,"312,894","9,067,274"
 4/12/2019 ,28.94,29.49,28.4,"1,594,195","46,134,924"
 4/11/2019 ,28.95,29.37,28.23,"6,866,700","198,566,552"
 4/10/2019 ,28.89,29.88,28.62,"3,376,516","97,676,774"
 4/9/2019 ,29.84,30,28.85,"3,207,408","95,343,134"
 4/8/2019 ,29.59,30.39,29.17,"1,800,804","53,344,299"
 4/5/2019 ,29.91,30.85,29.63,"1,532,680","45,863,476"
 4/4/2019 ,29.97,30.5,29.8,"730,710","21,948,401"
 4/3/2019 ,30.51,30.75,29.68,"3,342,600","101,627,849"
 4/2/2019 ,29.95,30.87,29.71,"1,835,896","55,348,069"
 4/1/2019 ,30.51,30.91,29.09,"3,584,623","108,861,277"
 3/29/2019 ,29.88,30.29,29.32,"3,218,711","96,339,279"
 3/28/2019 ,29.42,29.84,29.11,"3,464,076","102,212,043"
 3/27/2019 ,29.32,30.18,28.84,"3,693,154","109,016,700"
 3/26/2019 ,29.33,30.33,28.79,"5,744,280","170,596,836"
 3/25/2019 ,29.22,29.6,28.41,"1,950,333","56,583,848"
 3/22/2019 ,28.42,28.98,28.3,"2,357,897","67,317,808"
 3/21/2019 ,28.75,29.5,28.5,"2,997,160","86,212,287"
 3/20/2019 ,28.72,29,27.64,"3,904,815","111,224,993"
 3/19/2019 ,28.13,28.53,27.95,"2,125,447","59,793,800"
 3/15/2019 ,27.92,28,27.01,"4,246,688","118,094,471"
 3/14/2019 ,27.21,28.2,27.08,"678,828","18,620,721"
 3/13/2019 ,27.8,28.13,27.45,"4,561,139","126,544,903"
 3/12/2019 ,27.4,27.88,27.29,"2,750,865","75,450,359"
 3/11/2019 ,27.27,27.6,26.72,"1,660,634","45,202,318"
 3/8/2019 ,27.31,27.39,26.6,"989,974","26,816,478"
 3/7/2019 ,27.03,27.6,26.83,"907,876","24,578,024"
 3/6/2019 ,27.29,28.09,26.52,"3,021,361","82,196,584"
 3/5/2019 ,27.16,27.79,26.69,"1,665,291","45,210,935"
 3/4/2019 ,27.37,27.78,26.77,"2,381,817","65,464,718"
 3/1/2019 ,27.6,28.2,26.16,"2,186,431","60,340,457"
 2/28/2019 ,27.12,27.46,26.11,"2,710,812","73,396,430"
 2/27/2019 ,26.8,27,25.62,"7,221,596","189,636,984"
 2/26/2019 ,25.6,25.96,25.01,"1,322,561","33,910,428"
 2/25/2019 ,25.53,25.76,24.86,"1,968,773","50,192,131"
 2/22/2019 ,25.33,25.45,25.17,"1,062,123","26,874,912"
 2/21/2019 ,25.19,25.32,25.07,"1,592,291","40,195,426"
 2/20/2019 ,25.28,25.49,25.11,"3,607,981","91,282,574"
 2/19/2019 ,25.11,25.36,24.57,"1,699,601","42,847,912"
 2/18/2019 ,24.59,25.21,24.45,"193,550","4,799,748"
 2/15/2019 ,24.55,24.98,24.45,"2,333,663","57,367,391"
 2/14/2019 ,24.57,24.9,24.33,"8,103,855","198,237,445"
 2/13/2019 ,24.45,25.49,24.17,"3,011,419","74,908,282"
 2/12/2019 ,25.03,25.64,24.77,"917,435","22,971,542"
 2/11/2019 ,24.89,25,24.72,"1,019,256","25,394,332"
 2/7/2019 ,24.8,25.17,24.61,"6,395,961","159,809,643"
 2/6/2019 ,24.71,24.86,24.3,"1,658,729","40,858,162"
 2/5/2019 ,24.47,25.05,24.18,"2,334,251","57,187,049"
 2/1/2019 ,24.98,25.05,24.01,"6,357,101","157,770,685"
 1/31/2019 ,24.43,24.71,24.23,"4,033,654","98,462,095"
 1/30/2019 ,24.28,24.47,23.62,"5,354,122","129,484,298"
 1/29/2019 ,24.34,24.5,23.92,"804,550","19,498,498"
 1/28/2019 ,24.07,24.52,23.84,"947,535","22,763,389"
 1/25/2019 ,23.8,23.87,23.4,"1,351,681","32,096,897"
 1/24/2019 ,23.87,24.39,23.7,"788,856","18,904,923"
 1/23/2019 ,24.33,24.69,23.75,"6,072,572","146,883,729"
 1/22/2019 ,23.38,23.88,23.09,"4,816,262","113,057,447"
 1/21/2019 ,23.8,24.34,23.71,"1,425,964","34,261,706"
 1/18/2019 ,23.95,24.75,23.86,"3,568,231","86,111,143"
 1/17/2019 ,24.46,25.11,24.16,"3,197,142","78,761,175"
 1/16/2019 ,24.73,25.36,24.68,"2,311,108","57,682,083"
 1/15/2019 ,25,25.5,24.6,"3,698,343","92,350,285"
 1/14/2019 ,24.87,25.45,24.4,"2,707,410","67,301,088"
 1/11/2019 ,25.28,26.04,24.75,"3,145,412","79,884,395"
 1/10/2019 ,25.58,26.23,25.25,"5,495,217","140,793,942"
 1/9/2019 ,26.23,26.77,25.75,"5,298,313","139,009,555"
 1/8/2019 ,26.56,27.66,26.21,"2,116,819","56,484,202"
 1/7/2019 ,26.62,27.26,26.26,"1,018,855","27,070,453"
 1/4/2019 ,27.06,27.65,26.51,"678,375","18,363,938"
 1/3/2019 ,26.67,27.49,26.11,"1,513,677","40,725,001"
 1/2/2019 ,26.7,27.76,26.25,"1,931,705","51,460,366"
 12/31/2018 ,26.26,26.95,25.2,"844,140","22,107,861"
 12/28/2018 ,25.67,26.33,25.43,"1,649,116","42,459,210"
 12/27/2018 ,25.22,25.95,24.73,"1,333,034","33,708,275"
 12/26/2018 ,24.72,25.31,24.34,"1,228,404","30,222,549"
 12/24/2018 ,24.97,25.43,24.55,"803,694","20,010,237"
 12/21/2018 ,24.53,24.88,24,"2,672,929","65,633,617"
 12/20/2018 ,24.45,24.5,23.7,"1,880,011","45,401,757"
 12/19/2018 ,24.18,24.98,23.5,"3,227,271","77,943,919"
 12/18/2018 ,23.75,24.94,23.59,"1,364,871","32,593,270"
 12/17/2018 ,24.18,25.22,24,"548,001","13,368,209"
 12/14/2018 ,24.8,25,24.4,"1,704,469","42,220,917"
 12/13/2018 ,24.71,24.76,22.9,"5,855,705","142,086,387"
 12/11/2018 ,23.68,23.94,23.26,"634,607","14,992,313"
 12/10/2018 ,23.39,25.45,23.21,"1,372,406","32,622,988"
 12/7/2018 ,24.67,25,24.02,"1,018,866","25,100,031"
 12/6/2018 ,24.33,24.59,23,"1,271,304","30,668,783"
 12/5/2018 ,23.98,24.66,23.53,"340,618","8,166,354"
 12/4/2018 ,24.4,24.85,24.18,"1,225,791","29,942,400"
 12/3/2018 ,24.8,25.68,24.51,"2,744,246","67,928,529"
 11/30/2018 ,25.61,25.85,24.26,"2,199,188","55,542,321"
 11/29/2018 ,24.15,24.54,24.01,"874,969","21,189,025"
 11/28/2018 ,24.06,24.34,22.84,"5,861,514","140,085,425"
 11/27/2018 ,22.62,23.26,22.5,"686,919","15,791,930"
 11/26/2018 ,22.67,23.34,22.43,"1,234,834","28,261,262"
 11/23/2018 ,22.88,23.56,22.66,"413,390","9,598,101"
 11/22/2018 ,23.04,23.51,22.98,"512,714","11,862,410"
 11/21/2018 ,22.83,22.96,22.35,"2,688,734","60,627,853"
 11/20/2018 ,22.43,23,22.28,"4,715,284","105,930,888"
 11/16/2018 ,22.4,22.86,22.06,"3,466,845","77,876,318"
 11/15/2018 ,22.64,22.95,22.55,"4,092,037","92,962,691"
 11/14/2018 ,22.8,24.37,22.65,"10,458,343","239,027,775"
 11/13/2018 ,23.27,23.43,22.95,"4,786,280","111,119,991"
 11/12/2018 ,23.56,24.17,22.74,"2,175,600","51,293,733"
 11/9/2018 ,23.56,24.5,23.34,"3,157,363","75,629,122"
 11/8/2018 ,24.17,24.63,24.04,"1,822,446","44,136,732"
 11/7/2018 ,24.24,25.26,24.07,"2,924,312","71,877,920"
 11/6/2018 ,24.93,25.06,24.76,"1,630,505","40,619,095"
 11/5/2018 ,25.1,25.36,24.73,"4,616,811","115,737,568"
 11/1/2018 ,24.9,25.31,24.22,"10,453,379","260,750,444"
 10/31/2018 ,24.95,25.59,24.5,"4,175,984","104,022,952"
 10/30/2018 ,24.69,25.16,23.74,"6,487,094","161,357,950"
 10/29/2018 ,25.14,26.08,24.86,"3,311,737","84,014,112"
 10/26/2018 ,25.93,30.15,25.56,"33,308,661","921,036,577"
 10/25/2018 ,30.19,31.21,29.8,"862,058","26,305,272"
 10/24/2018 ,30.78,31.9,30.3,"2,146,801","66,348,621"
 10/23/2018 ,30.91,31.12,30.17,"382,950","11,815,088"
 10/22/2018 ,31.34,31.48,30.52,"701,507","21,784,995"
 10/19/2018 ,30.66,30.88,30.01,"1,579,085","48,326,620"
 10/18/2018 ,30.64,31.04,30.25,"1,954,448","59,962,943"
 10/17/2018 ,31.04,31.33,29.85,"1,215,162","37,472,122"
 10/16/2018 ,30.35,30.65,29.43,"2,555,831","76,903,008"
 10/15/2018 ,29.37,30.24,29.22,"224,765","6,643,614"
 10/12/2018 ,29.3,30.4,29.03,"1,644,078","48,264,743"
 10/11/2018 ,29.31,29.97,28.81,"371,876","10,833,230"
 10/10/2018 ,29.74,29.95,29.08,"934,790","27,719,432"
 10/9/2018 ,29.47,29.92,29.04,"463,338","13,644,345"
 10/8/2018 ,29.43,29.57,29.05,"2,114,494","61,891,004"
 10/5/2018 ,29.62,30.21,29.45,"1,703,559","50,586,056"
 10/4/2018 ,30.19,30.65,29.7,"879,686","26,572,966"
 10/3/2018 ,30.37,30.8,30,"5,461,508","167,218,868"
 10/2/2018 ,30.57,30.79,30.42,"700,178","21,441,712"
 10/1/2018 ,30.57,30.8,30.33,"1,350,197","41,233,358"
 9/28/2018 ,30.33,30.81,29.8,"1,436,831","43,713,381"
 9/27/2018 ,30.01,30.99,29.52,"1,540,521","46,858,296"
 9/26/2018 ,30.13,30.25,29.49,"2,207,357","66,085,241"
 9/25/2018 ,29.88,29.92,29.46,"1,255,857","37,349,962"
 9/24/2018 ,29.98,30.01,29.55,"2,834,816","84,658,683"
 9/21/2018 ,29.88,30,29.47,"6,487,231","193,133,863"
 9/20/2018 ,29.52,30.2,29.33,"814,913","24,098,777"
 9/19/2018 ,30.16,30.51,29.81,"3,382,247","101,499,126"
 9/18/2018 ,29.6,29.68,29.36,"2,065,136","61,065,999"
 9/17/2018 ,29.32,29.43,28.93,"497,834","14,556,219"
 9/14/2018 ,28.83,28.86,28.33,"3,928,881","112,250,571"
 9/13/2018 ,28.43,28.47,28.25,"2,803,080","79,408,449"
 9/12/2018 ,28.27,28.35,27.6,"2,879,451","80,994,397"
 9/11/2018 ,28.25,28.27,28.03,"1,665,981","46,964,312"
 9/10/2018 ,28.13,28.42,27.89,"3,164,370","88,920,721"
 9/7/2018 ,28.18,28.25,27.83,"1,725,414","48,450,840"
 9/6/2018 ,28.01,28.27,27.23,"5,961,620","165,782,776"
 9/5/2018 ,27.66,27.78,27.19,"6,356,527","175,075,744"
 9/4/2018 ,27.5,27.51,27.05,"5,838,410","159,258,066"
 9/3/2018 ,27.13,27.17,27.04,"215,933","5,853,376"
 8/31/2018 ,27.12,27.2,26.88,"2,113,140","57,233,563"
 8/30/2018 ,26.92,27.01,26.67,"5,275,403","141,532,742"
 8/29/2018 ,26.98,27.17,26.83,"3,525,408","95,174,880"
 8/28/2018 ,27,27.07,26.66,"1,809,019","48,573,662"
 8/27/2018 ,26.7,26.8,26.48,"2,232,599","59,501,616"
 8/24/2018 ,26.71,26.86,26.6,"1,945,818","52,089,591"
 8/23/2018 ,26.91,26.99,26.6,"2,414,387","64,752,814"
 8/22/2018 ,26.65,26.74,26.41,"4,189,117","111,410,783"
 8/21/2018 ,26.52,26.66,25.99,"6,180,016","163,064,967"
 8/20/2018 ,26,26.1,25.89,"2,023,860","52,631,866"
 8/17/2018 ,26.1,26.16,25.5,"1,872,750","48,549,845"
 8/16/2018 ,25.7,26.01,25.31,"6,443,074","166,426,054"
 8/15/2018 ,25.68,25.82,25.47,"2,786,156","71,593,823"
 8/14/2018 ,25.68,25.88,25.55,"4,480,151","115,317,696"
 8/13/2018 ,25.8,25.96,25.69,"4,742,207","122,518,597"
 8/10/2018 ,25.86,26,25.69,"5,284,859","136,633,671"
 8/9/2018 ,25.87,26.05,25.66,"3,124,157","81,019,726"
 8/8/2018 ,25.7,25.89,25.5,"7,118,432","182,988,136"
 8/7/2018 ,25.86,25.94,25.8,"5,178,019","133,885,647"
 8/6/2018 ,25.78,26.18,25.4,"9,069,211","235,360,294"
 8/3/2018 ,26.06,26.48,25.36,"17,046,257","443,538,225"
 8/2/2018 ,25.6,25.71,25.21,"9,354,067","238,865,450"
 8/1/2018 ,25.75,26.08,25.53,"8,229,654","213,005,430"
 7/31/2018 ,25.97,26.07,25.75,"10,337,982","268,202,614"
 7/30/2018 ,26.01,26.5,25.89,"13,409,759","350,713,517"
 7/27/2018 ,26.05,26.59,26,"15,457,917","405,654,222"
 7/26/2018 ,26.33,26.81,25.5,"23,901,978","632,419,444"
 7/25/2018 ,26.81,27.13,26.41,"2,671,096","71,495,271"
 7/24/2018 ,26.99,27.4,26.9,"1,521,766","41,187,349"
 7/23/2018 ,26.95,27.24,26.82,"3,315,177","89,471,185"
 7/20/2018 ,27.24,27.68,27.04,"3,216,870","87,904,651"
 7/19/2018 ,27.47,27.95,26.7,"2,167,441","59,144,127"
 7/18/2018 ,27.85,28.67,27.61,"4,001,626","112,272,624"
 7/17/2018 ,28.49,28.95,28.4,"5,410,567","154,757,908"
 7/16/2018 ,28.65,29.18,28.5,"3,963,473","113,884,402"
 7/13/2018 ,28.9,29.14,28.65,"5,679,939","164,247,940"
 7/12/2018 ,29.05,29.49,28.99,"6,059,764","176,098,566"
 7/11/2018 ,29.05,29.58,28.99,"2,593,386","75,553,719"
 7/10/2018 ,29.3,29.75,29.26,"3,171,510","93,191,770"
 7/9/2018 ,29.49,29.97,29.3,"3,434,849","102,208,298"
 7/6/2018 ,29.64,30.2,29.42,"3,261,565","97,212,568"
 7/5/2018 ,30.25,30.5,29.3,"3,051,349","90,733,535"
 7/4/2018 ,29.32,29.53,28.87,"2,344,301","68,470,488"
 7/3/2018 ,28.99,29.25,28.5,"6,148,949","178,165,094"
 7/2/2018 ,28.75,28.92,28.14,"4,439,616","126,894,265"
 6/29/2018 ,28.73,28.85,28.42,"6,236,339","178,010,290"
 6/28/2018 ,28.8,28.98,28.32,"6,782,394","195,445,407"
 6/27/2018 ,28.43,28.76,28.3,"6,252,696","177,863,214"
 6/26/2018 ,28.76,28.93,28.42,"1,667,212","47,795,732"
 6/25/2018 ,28.68,29.2,28.5,"2,159,725","62,195,874"
 6/22/2018 ,29.11,29.23,28.71,"4,156,056","120,901,160"
 6/21/2018 ,29.08,29.23,28.3,"3,029,525","87,720,442"
 6/20/2018 ,28.96,29.75,28.69,"4,180,533","121,759,873"
 6/19/2018 ,29.82,29.89,29.4,"768,414","22,865,055"
 6/18/2018 ,29.7,30.8,29.22,"2,122,998","63,158,117"
 6/15/2018 ,30.87,31.6,30.56,"5,981,634","185,306,742"
 6/14/2018 ,31.4,31.93,31.12,"3,169,508","99,571,176"
 6/13/2018 ,31.55,32,31.38,"1,260,188","39,814,299"
 6/12/2018 ,31.59,31.99,31.26,"3,128,961","98,974,767"
 6/11/2018 ,31.6,31.85,31.25,"1,476,954","46,718,293"
 6/8/2018 ,31.31,31.8,31.13,"1,645,811","51,506,572"
 6/7/2018 ,31.53,32,31.05,"1,140,019","35,767,124"
 6/6/2018 ,31.45,31.94,31.35,"1,192,153","37,834,469"
 6/5/2018 ,31.65,32.19,31.47,"3,471,291","110,319,794"
 6/4/2018 ,31.78,32.28,31.6,"2,244,093","71,782,517"
 6/1/2018 ,31.96,32.8,31.35,"2,830,902","90,755,033"
 5/31/2018 ,32.36,32.43,32.05,"2,034,464","65,771,741"
 5/30/2018 ,32.36,32.8,31.3,"2,171,652","70,489,052"
 5/29/2018 ,31.76,32.46,31.22,"2,340,566","74,420,808"
 5/28/2018 ,31.69,31.9,31.31,"348,413","11,023,196"
 5/25/2018 ,31.48,31.89,31.09,"2,083,139","65,750,894"
 5/24/2018 ,31.66,31.94,31.29,"3,564,154","113,388,087"
 5/23/2018 ,31.87,31.9,31.03,"964,657","30,467,733"
 5/22/2018 ,31.61,31.84,30.94,"1,238,338","38,718,912"
 5/21/2018 ,31.45,31.9,31.15,"446,966","14,075,809"
 5/18/2018 ,31.67,32.22,31.39,"1,110,072","35,191,365"
 5/17/2018 ,31.73,32,31.4,"1,645,765","52,065,364"
 5/16/2018 ,31.67,31.94,31.43,"2,167,249","68,687,800"
 5/15/2018 ,31.44,31.65,30.3,"1,353,705","42,482,953"
 5/14/2018 ,30.98,31.27,30.2,"6,298,112","192,212,124"
 5/11/2018 ,30.66,30.96,29.91,"3,869,625","117,857,915"
 5/10/2018 ,30.68,31.31,30.41,"4,861,359","149,349,449"
 5/9/2018 ,30.31,31.41,30.22,"3,843,043","118,217,557"
 5/8/2018 ,31.24,31.51,30.77,"3,127,369","97,790,732"
 5/7/2018 ,30.79,31.7,30.68,"1,994,654","61,725,134"
 5/4/2018 ,31.06,31.49,30.93,"2,237,266","69,665,621"
 5/3/2018 ,31.66,31.89,31.21,"4,592,322","144,747,200"
 5/2/2018 ,31.96,32.11,31.07,"6,130,198","195,057,619"
 4/30/2018 ,31.68,32.19,31.33,"4,838,441","153,761,395"
 4/27/2018 ,32.14,33.44,31.85,"5,597,532","180,406,883"
 4/26/2018 ,34.23,34.44,33.86,"1,395,346","47,760,323"
 4/25/2018 ,34.24,34.39,33.29,"3,193,152","108,729,141"
 4/24/2018 ,33.95,34.47,33.7,"3,130,051","106,622,144"
 4/23/2018 ,34.36,34.99,34.2,"2,426,815","83,427,271"
 4/20/2018 ,34.7,34.85,34.01,"401,179","13,894,674"
 4/19/2018 ,34.67,34.85,34.56,"909,077","31,608,344"
 4/18/2018 ,34.7,35.13,34.59,"2,240,128","77,941,393"
 4/17/2018 ,34.7,35.1,34.1,"3,219,853","111,869,158"
 4/16/2018 ,34.57,35.44,34.19,"1,516,330","52,535,970"
 4/13/2018 ,35.04,35.8,34.88,"1,100,534","38,789,908"
 4/12/2018 ,35.65,36.48,35.4,"432,160","15,585,398"
 4/11/2018 ,36.17,36.75,35.81,"1,763,370","64,325,089"
 4/10/2018 ,36.49,36.58,35.49,"6,693,695","244,208,754"
 4/9/2018 ,36.47,36.65,35.94,"776,934","28,337,928"
 4/6/2018 ,36.49,36.5,36.43,"657,868","24,006,730"
 4/5/2018 ,36.32,36.5,36.18,"1,126,487","40,970,043"
 4/4/2018 ,36.45,36.5,35.92,"2,374,321","86,448,320"
 4/3/2018 ,36.46,36.75,36,"4,254,393","155,141,405"
 4/2/2018 ,36.34,36.89,35.99,"515,500","18,843,817"
 3/28/2018 ,36.9,36.95,36.12,"1,144,157","41,977,184"
 3/27/2018 ,36.6,36.63,35.85,"851,898","31,131,711"
 3/26/2018 ,36.52,36.93,35.54,"1,288,246","46,663,751"
 3/23/2018 ,36.32,36.99,36.07,"1,362,802","49,883,908"
 3/22/2018 ,36.64,37,36.54,"857,519","31,582,169"
 3/21/2018 ,36.86,36.99,36.58,"731,221","26,950,287"
 3/20/2018 ,36.81,37.09,36.56,"1,008,725","37,200,113"
 3/16/2018 ,36.56,37.2,36.44,"2,982,981","109,264,874"
 3/15/2018 ,36.66,37.4,36.08,"2,243,747","82,801,622"
 3/14/2018 ,36.82,36.89,36.27,"2,150,495","78,970,915"
 3/13/2018 ,36.53,36.72,35.9,"1,382,797","50,480,359"
 3/12/2018 ,36.48,36.8,36.31,"1,329,382","48,680,973"
 3/9/2018 ,36.75,36.89,36.51,"1,678,001","61,654,170"
 3/8/2018 ,36.64,36.85,36.5,"1,480,508","54,312,522"
 3/7/2018 ,36.54,37,36.1,"5,400,709","197,757,350"
 3/6/2018 ,36.52,36.98,36.3,"6,250,532","228,648,732"
 3/5/2018 ,36.34,36.74,35.78,"3,093,030","111,649,358"
 3/2/2018 ,35.73,35.9,35.24,"3,828,740","136,041,653"
 3/1/2018 ,35.46,35.78,34.45,"2,105,899","74,350,288"
 2/28/2018 ,34.77,35.48,33.29,"3,632,413","125,405,792"
 2/27/2018 ,32.93,33.3,32.46,"550,135","18,079,850"
 2/26/2018 ,33.07,33.57,32.53,"375,380","12,385,252"
 2/23/2018 ,33.31,33.4,32.99,"208,059","6,918,950"
 2/22/2018 ,33,33.16,32.02,"270,860","8,907,043"
 2/21/2018 ,32.16,32.88,32.01,"676,384","21,871,542"
 2/20/2018 ,32.22,33.19,32.14,"225,838","7,292,522"
 2/19/2018 ,32.61,33.1,32.3,"188,579","6,156,955"
 2/16/2018 ,32.56,33.5,32.49,"276,274","9,101,656"
 2/15/2018 ,33.44,34.1,32.58,"480,900","15,965,027"
 2/14/2018 ,32.56,33.28,32.5,"909,008","29,693,792"
 2/13/2018 ,33.05,33.6,32.73,"440,349","14,669,344"
 2/12/2018 ,33.42,33.54,32.7,"433,138","14,321,141"
 2/9/2018 ,32.91,33.84,32.45,"714,258","23,563,754"
 2/8/2018 ,32.45,33.87,32.23,"944,168","30,874,382"
 2/7/2018 ,33.87,34.35,33.16,"1,738,387","58,830,798"
 2/6/2018 ,33.62,34.16,32.88,"756,725","25,417,103"
 2/2/2018 ,33.89,34.1,33.67,"6,186,937","209,661,906"
 2/1/2018 ,33.9,34.05,33.46,"2,982,188","100,832,507"
 1/31/2018 ,33.86,34.18,33.29,"1,147,901","38,919,927"
 1/30/2018 ,33.32,33.72,32.8,"563,624","18,786,106"
 1/29/2018 ,33.74,34.18,33.26,"857,719","28,850,211"
 1/26/2018 ,34.1,34.2,33.17,"874,052","29,751,150"
 1/25/2018 ,33.82,33.95,33.25,"1,554,859","52,579,822"
 1/24/2018 ,33.78,33.89,33.11,"2,513,585","84,841,560"
 1/23/2018 ,33.61,35.32,33.26,"2,757,621","93,421,033"
